company,category,rating,reviews,phone,website,resolved_website,email,site_status,platforms,fit_score,google_gap,website_gap,tiegui_angle,title,h1,cta_found,local_terms_found,contact_url,error
DG Landscaping LLC,Landscaper,4.4,16,(253) 218-1115,https://dglandscapingllc.com/,https://groupeacademia-cg.com/evenements.php,,redirected_off_domain,"wordpress, facebook",8,Can grow review volume and recency; Good enough reputation but still room to improve trust,Current domain redirects to an unrelated site; Website needs a technical/content audit; No public email surfaced; Weak Tacoma/Pierce local SEO language,Fix the broken domain and replace it with a real conversion site; Add missed-call text-back and quote follow-up automation; Run review-request automation to improve Google trust,BOS5000 > Situs Slot 4D Resmi dengan Layanan Terbaik & Akun Pro Pasti JP - Groupe Academia,BOS5000 > Situs Slot 4D Resmi dengan Layanan Terbaik & Akun Pro Pasti JP - Groupe Academia,"book, call, contact, quote, request, text",,,Redirects off-domain to groupeacademia-cg.com
Salazar's LANDSCAPING & Lawn Care Services,Lawn care service,4.5,15,(253) 590-8370,https://salazarslandscaping.com/,https://salazarslandscaping.com/,,ok,,8,Can grow review volume and recency; Good enough reputation but still room to improve trust,No clear estimate/quote CTA above the fold; No visible form capture detected; No public email surfaced; Weak Tacoma/Pierce local SEO language,Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation; Run review-request automation to improve Google trust,salazarslandscaping.com,,text,,,
Mago Landscaping Services,Landscaper,4.0,5,(253) 287-8090,,,,no_website,,7,Review count still light for local search; Rating/consistency issue on Google profile,No website linked from Google Maps,Rebuild the site into a mobile-first conversion homepage with service-area pages; Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,,,,,,No website linked on Google Maps
NORTHWEST LAWN CARE AND LANDSCAPING LLC,Landscaper,4.9,94,(253) 820-5647,http://www.nwlcl.com/,https://nwlawnandlandscape.com/,mike@nwlcl.com,redirected_off_domain,"wordpress, facebook",7,Google profile looks active; website conversion is probably the bigger leak,Current domain redirects to an unrelated site; Website needs a technical/content audit; No visible form capture detected; Weak Tacoma/Pierce local SEO language,Fix the broken domain and replace it with a real conversion site; Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,NW Lawn Care & Landscape,,"book, call, contact, estimate, quote, text",,,Redirects off-domain to nwlawnandlandscape.com
True Design Landscape,Landscape designer,5.0,34,(253) 278-9573,https://truedesignlandscape.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,https://truedesignlandscape.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,,ok,wordpress,7,Can grow review volume and recency,No clear estimate/quote CTA above the fold; No visible form capture detected; No public email surfaced; Weak Tacoma/Pierce local SEO language,Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,True Design Landscape - Taking Life Outside Since 2011,,"call, contact, text",,,
ARW Landscape Design,Landscape architect,4.8,16,(253) 223-1162,http://www.arwlandscapedesign.com/,https://arwlandscapedesign.com/,,ok,,6,Can grow review volume and recency,No clear estimate/quote CTA above the fold; No visible form capture detected; No public email surfaced,Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,Experienced Landscape Designer | ARW Landscape Design,ARW Landscape Design,"contact, text","pierce county, tacoma, university place",,
ECO Landscaping LLC,Lawn care service,4.6,21,(253) 267-4611,http://www.ecolandscapingllc.org/,https://www.ecolandscapingllc.org/,ECOlandscaping253@gmail.com,template_builder,wix,6,Can grow review volume and recency,Template-builder site that likely undersells the brand; No visible form capture detected; Thin homepage copy,Rebuild the site into a mobile-first conversion homepage with service-area pages; Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,Lawn Maintenance | Washington | ECO Landscaping LLC,,"book, call, contact, quote, request, text","pierce county, tacoma",,
"Father Nature Landscapes of Tacoma, Inc.",Landscaper,4.5,119,(253) 761-6437,https://fnltacoma.com/,https://fnltacoma.com/,,ok,,6,Good enough reputation but still room to improve trust,No clear estimate/quote CTA above the fold; No visible form capture detected; No public email surfaced,Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation; Run review-request automation to improve Google trust,,,,tacoma,,
finishing touch lawn care tacoma wa,Lawn care service,3.0,2,(253) 345-4546,https://www.lawncaretacomawa.com/contact-page,https://www.lawncaretacomawa.com/contact-page,,fetch_failed,,6,Very thin Google review base; Rating/consistency issue on Google profile,Website needs a technical/content audit; No clear estimate/quote CTA above the fold; No visible form capture detected; No public email surfaced,Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation; Run review-request automation to improve Google trust,,,,,,Fetch failed: HTTPError
G&L Landscaping,Landscape designer,4.7,12,(253) 283-8738,https://halcon240624.wixsite.com/mysite,https://halcon240624.wixsite.com/mysite,halcon240624@gmail.com,template_builder,wix,6,Review count still light for local search,Template-builder site that likely undersells the brand; No visible form capture detected,Rebuild the site into a mobile-first conversion homepage with service-area pages; Install clear estimate CTA plus faster lead routing; Add missed-call text-back and quote follow-up automation,Home | L Landscaping,Services to Suit Your Needs,"book, call, contact, quote, request, schedule, text",tacoma,,
